nome,empresa,endereco,cidade,estado,cep,pais,website,peeringdb_id,lat,lon,fonte,capacidade_mw,tipo_resfriamento,ano_inauguracao,notas,geocod_query,geocod_fonte
Equinix SP4 - São Paulo,,"Av. Ceci, 1900 - Res. Tambore",Barueri,SP,06455000,BR,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp4/,165.0,-23.497589,-46.814577,PeeringDB,,,,,,
PIX Telium,,Av. Nações unidas 13797 Building III 2° floor,São Paulo,SP,04794-000,BR,http://www.telium.com.br,816.0,-23.620044,-46.702253,PeeringDB,,,,,,
PIX Samm Florida,,"R. Flórida, 1738 – Conj. Comercial 31, 3º andar – Brooklin",São Paulo,SP,04575901,BR,http://www.g8.net.br,1099.0,-23.607007,-46.694739,PeeringDB,,,,,,
Ananke,,"rua santo antonio, 184",São Paulo,SP,01314000,BR,http://www.ananke.com.br,1210.0,-23.549923,-46.640734,PeeringDB,,,,,,
Equinix SP2 - São Paulo,,"Alameda Araguaia, 3641",Barueri,SP,06455000,BR,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp2/,1283.0,-23.5027,-46.827255,PeeringDB,,,,,,
TIVIT Sao Paulo,,"Rua Bento Branco de Andrade Filho, 621",São Paulo,SP,04757-000,BR,https://www.tivit.com.br,1325.0,-23.65071,-46.720519,PeeringDB,,,,,,
PIX ALGAR-VRAO,,"Avenida Das Nações Unidas, 12901",São Paulo,SP,04578-910,BR,http://www.stech.net.br,1345.0,-23.610224,-46.696424,PeeringDB,,,,,,
Equinix SP1 - São Paulo,,"Rua Dr. Miguel Couto, 58",São Paulo,SP,01008010,BR,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp1/,1585.0,-23.545988,-46.635836,PeeringDB,,,,,,
B-BRIX - SPO1,,Tambore - Barueri,Barueri,SP,06460-120,BR,http://www.backbone-br.com.br,1685.0,-23.497107,-46.814556,PeeringDB,,,,,,
Nextel MSO SPO,,R. Cajuru 533,São Paulo,SP,03045,BR,http://www.nextel.com.br,1789.0,-23.542416,-46.598948,PeeringDB,,,,,,
Terra Network Brasil S.A - SAO-01,,"Av. das Nações Unidas, 12901",São Paulo,SP,04576,BR,http://www.terra.com.br,1839.0,-23.609889,-46.697227,PeeringDB,,,,,,
Terra Network Brasil S.A - SAO-02,,"Av. TamborÃ©, 341/371",Barueri,SP,06460-000,BR,http://www.terra.com.br,1840.0,-23.5112184,-46.8764612,PeeringDB,,,,,"Barueri, SP, Brasil",Nominatim
Eletronet - Sao Paulo,,100 Av Alfredo Egídio De Souza Aranha,São Paulo,SP,04726-170,BR,https://eletronet.com/,1903.0,-23.632684,-46.712046,PeeringDB,,,,,,
Ultranet SP1,,Av Lins de Vasconcelos 1042,São Paulo,SP,01538000,BR,http://ultranet.com.br,2179.0,-23.572415,-46.623074,PeeringDB,,,,,,
