data_center,empresa,bacia,raio_km,setores_no_buffer,pop_total_est,pop_vuln_est,pct_vuln
Equinix SP4 - São Paulo,,ALTO TIETÊ,5.0,719,719,,
PIX Telium,,ALTO TIETÊ,5.0,1420,1420,,
PIX Samm Florida,,ALTO TIETÊ,5.0,1390,1390,,
Ananke,,ALTO TIETÊ,5.0,1948,1948,,
Equinix SP2 - São Paulo,,ALTO TIETÊ,5.0,752,752,,
TIVIT Sao Paulo,,ALTO TIETÊ,5.0,1395,1395,,
PIX ALGAR-VRAO,,ALTO TIETÊ,5.0,1374,1374,,
Equinix SP1 - São Paulo,,ALTO TIETÊ,5.0,1884,1884,,
B-BRIX - SPO1,,ALTO TIETÊ,5.0,709,709,,
Nextel MSO SPO,,ALTO TIETÊ,5.0,1488,1488,,
Terra Network Brasil S.A - SAO-01,,ALTO TIETÊ,5.0,1375,1375,,
Terra Network Brasil S.A - SAO-02,,ALTO TIETÊ,5.0,556,556,,
Eletronet - Sao Paulo,,ALTO TIETÊ,5.0,1391,1391,,
Ultranet SP1,,ALTO TIETÊ,5.0,1977,1977,,
Data Center ASAP SP1,,ALTO TIETÊ,5.0,1072,1072,,
Ascenty CPS01 - Campinas,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,336,336,,
UPX São Paulo,,ALTO TIETÊ,5.0,752,752,,
NIC-NU (Nações Unidas),,ALTO TIETÊ,5.0,1167,1167,,
NIC-JD (João Dias),,ALTO TIETÊ,5.0,1528,1528,,
ODATA DC SP01,,ALTO TIETÊ,5.0,215,215,,
ADP3 TELECOMUNICAÇõES LTDA,,ALTO TIETÊ,5.0,2249,2249,,
Sba Edge Sao Paulo,,ALTO TIETÊ,5.0,1385,1385,,
CMA DATACENTER,,ALTO TIETÊ,5.0,1900,1900,,
Equinix SP3 - São Paulo,,ALTO TIETÊ,5.0,188,188,,
Talklink Telecom,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,258,258,,
Directweb Tecnologia em Informatica,,ALTO TIETÊ,5.0,1360,1360,,
Unitelco SP,,ALTO TIETÊ,5.0,2081,2081,,
BR.Digital São Paulo (SPO1),,ALTO TIETÊ,5.0,1387,1387,,
Hiway Internet,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,209,209,,
Scala Data Centers SGRUTB01,,ALTO TIETÊ,5.0,686,686,,
Desktop Campinas,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,743,743,,
IFTNET Telecom,,,5.0,1,1,,
DC MATRIX INTERNET S.A,,ALTO TIETÊ,5.0,1393,1393,,
Fox Telecomunicação & Internet Ltda.,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,556,556,,
Qnax Data Center do Brasil,,ALTO TIETÊ,5.0,2171,2171,,
Maxiweb Internet Provider,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,532,532,,
Minutes4all Telecomunicações Ltda,,ALTO TIETÊ,5.0,1440,1440,,
Open IT Group,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,54,54,,
Latitude.sh MH1,,ALTO TIETÊ,5.0,2125,2125,,
BB Host Datacenter - COA1,,ALTO TIETÊ,5.0,367,367,,
Ascenty SPO01 - São Paulo,,ALTO TIETÊ,5.0,800,800,,
Ascenty SPO02 - São Paulo,,ALTO TIETÊ,5.0,800,800,,
Ascenty SPO03 - São Paulo,,ALTO TIETÊ,5.0,800,800,,
Ascenty JDI01 - Jundiaí,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,86,86,,
Ascenty SUM01 - Sumaré,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,225,225,,
Ascenty SUM02 - Sumaré,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,225,225,,
Ascenty HTL01 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,305,305,,
Ascenty HTL02 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,305,305,,
Ascenty HTL03 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,305,305,,
Ascenty VIN01 - Vinhedo,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,125,125,,
Ascenty VIN02 - Vinhedo,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,125,125,,
Ascenty PLN01 - Paulínia,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,129,129,,
Omid Solutions Barueri,,ALTO TIETÊ,5.0,542,542,,
Omid Solutions São Paulo,,ALTO TIETÊ,5.0,1552,1552,,
Scala Data Centers HQ,,ALTO TIETÊ,5.0,599,599,,
Scala Data Centers SGRUSP02,,ALTO TIETÊ,5.0,1967,1967,,
Net Company Telecom,,ALTO TIETÊ,5.0,83,83,,
V micali Telecomunicações,,TIETÊ/BATALHA,5.0,58,58,,
Migtel Telecomunicacoes,,ALTO TIETÊ,5.0,1416,1416,,
ITRIO EDGE SP3,,ALTO TIETÊ,5.0,188,188,,
Direct Lan SOR1,,TIETÊ/SOROCABA,5.0,459,459,,
Direct Lan SOR2 (PIRAMIDE),,TIETÊ/SOROCABA,5.0,502,502,,
Elea SPO1 - São Paulo,,ALTO TIETÊ,5.0,1413,1413,,
PIX IMA,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,724,724,,
PIX Unicamp,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,175,175,,
Ascenty HTL04 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,305,305,,
Ascenty HTL05 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,305,305,,
PIX USP,,ALTO TIETÊ,5.0,1448,1448,,
PIX ALGAR-PIAF,,ALTO TIETÊ,5.0,1637,1637,,
PIX ALGAR-CENESP,,ALTO TIETÊ,5.0,1484,1484,,
PIX Locaweb,,ALTO TIETÊ,5.0,1859,1859,,
PIX Tim,,ALTO TIETÊ,5.0,1389,1389,,
PIX Telefonica-JD,,ALTO TIETÊ,5.0,1545,1545,,
PIX Vero,,ALTO TIETÊ,5.0,1773,1773,,
PIX Embratel SP,,ALTO TIETÊ,5.0,2187,2187,,
PIX Samm Itaim,,ALTO TIETÊ,5.0,1570,1570,,
Scala Data Centers SVCPCP01,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,137,137,,
Ascenty HTL06 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,305,305,,
BR.Digital São Paulo (SPO2),,ALTO TIETÊ,5.0,1519,1519,,
IDC19,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,120,120,,
OpenX - Verbo Divino,,ALTO TIETÊ,5.0,1398,1398,,
Scala Data Centers SGRUTB05,,ALTO TIETÊ,5.0,720,720,,
Ascenty SPO04  - São Paulo,,ALTO TIETÊ,5.0,797,797,,
Scala Data Centers SGRUTB08,,ALTO TIETÊ,5.0,712,712,,
Scala Data Centers SGRUTB12,,ALTO TIETÊ,5.0,712,712,,
Equinix SP5x - São Paulo,,ALTO TIETÊ,5.0,200,200,,
Equinix SP6 - São Paulo,,ALTO TIETÊ,5.0,176,176,,
Odata DC SP02,,PIRACICABA/CAPIVARI/JUNDIAI,5.0,294,294,,
Elea SPO2 - São Bernardo do Campo,,ALTO TIETÊ,5.0,1378,1378,,
Elea SPO3 - Tamboré,,ALTO TIETÊ,5.0,622,622,,
SP4,,ALTO TIETÊ,5.0,667,667,,
FIBRAREDE GESTAO E SERVICOS DE INFRAESTRUTURA,,ALTO TIETÊ,5.0,2179,2179,,
PIX-Ultranet,,ALTO TIETÊ,5.0,1962,1962,,
Scala SP1,Scala Data Centers,ALTO TIETÊ,5.0,247,247,,
Scala SP2,Scala Data Centers,ALTO TIETÊ,5.0,243,243,,
Ascenty SP1 (Barueri),Ascenty,ALTO TIETÊ,5.0,482,482,,
Ascenty SP2 (Campinas),Ascenty,PIRACICABA/CAPIVARI/JUNDIAI,5.0,635,635,,
Equinix SP2,Equinix,ALTO TIETÊ,5.0,1439,1439,,
Equinix SP3,Equinix,ALTO TIETÊ,5.0,1438,1438,,
ODATA SP01,ODATA,ALTO TIETÊ,5.0,499,499,,
ODATA Campinas,ODATA,PIRACICABA/CAPIVARI/JUNDIAI,5.0,757,757,,
Vivo (Telefonica),Vivo/Telefonica,ALTO TIETÊ,5.0,464,464,,
UOL Diveo / Host.net,UOL,ALTO TIETÊ,5.0,1814,1814,,
Equinix SP4 - São Paulo,,ALTO TIETÊ,10.0,2768,2768,,
PIX Telium,,ALTO TIETÊ,10.0,6605,6605,,
PIX Samm Florida,,ALTO TIETÊ,10.0,6737,6737,,
Ananke,,ALTO TIETÊ,10.0,6297,6297,,
Equinix SP2 - São Paulo,,ALTO TIETÊ,10.0,2602,2602,,
TIVIT Sao Paulo,,ALTO TIETÊ,10.0,5631,5631,,
PIX ALGAR-VRAO,,ALTO TIETÊ,10.0,6751,6751,,
Equinix SP1 - São Paulo,,ALTO TIETÊ,10.0,6404,6404,,
B-BRIX - SPO1,,ALTO TIETÊ,10.0,2755,2755,,
Nextel MSO SPO,,ALTO TIETÊ,10.0,6502,6502,,
Terra Network Brasil S.A - SAO-01,,ALTO TIETÊ,10.0,6742,6742,,
Terra Network Brasil S.A - SAO-02,,ALTO TIETÊ,10.0,1813,1813,,
Eletronet - Sao Paulo,,ALTO TIETÊ,10.0,6108,6108,,
Ultranet SP1,,ALTO TIETÊ,10.0,6263,6263,,
Data Center ASAP SP1,,ALTO TIETÊ,10.0,5307,5307,,
Ascenty CPS01 - Campinas,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,1016,1016,,
UPX São Paulo,,ALTO TIETÊ,10.0,2602,2602,,
NIC-NU (Nações Unidas),,ALTO TIETÊ,10.0,4620,4620,,
NIC-JD (João Dias),,ALTO TIETÊ,10.0,5435,5435,,
ODATA DC SP01,,ALTO TIETÊ,10.0,1254,1254,,
ADP3 TELECOMUNICAÇõES LTDA,,ALTO TIETÊ,10.0,6202,6202,,
Sba Edge Sao Paulo,,ALTO TIETÊ,10.0,5750,5750,,
CMA DATACENTER,,ALTO TIETÊ,10.0,6336,6336,,
Equinix SP3 - São Paulo,,ALTO TIETÊ,10.0,1370,1370,,
Talklink Telecom,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,323,323,,
Directweb Tecnologia em Informatica,,ALTO TIETÊ,10.0,6802,6802,,
Unitelco SP,,ALTO TIETÊ,10.0,6418,6418,,
BR.Digital São Paulo (SPO1),,ALTO TIETÊ,10.0,6742,6742,,
Hiway Internet,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,751,751,,
Scala Data Centers SGRUTB01,,ALTO TIETÊ,10.0,2813,2813,,
Desktop Campinas,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,1391,1391,,
IFTNET Telecom,,,10.0,5,5,,
DC MATRIX INTERNET S.A,,ALTO TIETÊ,10.0,5760,5760,,
Fox Telecomunicação & Internet Ltda.,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,851,851,,
Qnax Data Center do Brasil,,ALTO TIETÊ,10.0,6351,6351,,
Maxiweb Internet Provider,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,837,837,,
Minutes4all Telecomunicações Ltda,,ALTO TIETÊ,10.0,6572,6572,,
Open IT Group,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,117,117,,
Latitude.sh MH1,,ALTO TIETÊ,10.0,6162,6162,,
BB Host Datacenter - COA1,,ALTO TIETÊ,10.0,2977,2977,,
Ascenty SPO01 - São Paulo,,ALTO TIETÊ,10.0,3647,3647,,
Ascenty SPO02 - São Paulo,,ALTO TIETÊ,10.0,3647,3647,,
Ascenty SPO03 - São Paulo,,ALTO TIETÊ,10.0,3647,3647,,
Ascenty JDI01 - Jundiaí,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,510,510,,
Ascenty SUM01 - Sumaré,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,673,673,,
Ascenty SUM02 - Sumaré,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,673,673,,
Ascenty HTL01 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,1103,1103,,
Ascenty HTL02 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,1103,1103,,
Ascenty HTL03 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,1103,1103,,
Ascenty VIN01 - Vinhedo,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,319,319,,
Ascenty VIN02 - Vinhedo,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,319,319,,
Ascenty PLN01 - Paulínia,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,601,601,,
Omid Solutions Barueri,,ALTO TIETÊ,10.0,2327,2327,,
Omid Solutions São Paulo,,ALTO TIETÊ,10.0,6668,6668,,
Scala Data Centers HQ,,ALTO TIETÊ,10.0,2162,2162,,
Scala Data Centers SGRUSP02,,ALTO TIETÊ,10.0,6348,6348,,
Net Company Telecom,,ALTO TIETÊ,10.0,391,391,,
V micali Telecomunicações,,TIETÊ/BATALHA,10.0,65,65,,
NetCaster,,,10.0,4,4,,
Migtel Telecomunicacoes,,ALTO TIETÊ,10.0,6661,6661,,
ITRIO EDGE SP3,,ALTO TIETÊ,10.0,1375,1375,,
Direct Lan SOR1,,TIETÊ/SOROCABA,10.0,793,793,,
Direct Lan SOR2 (PIRAMIDE),,TIETÊ/SOROCABA,10.0,790,790,,
Elea SPO1 - São Paulo,,ALTO TIETÊ,10.0,5485,5485,,
PIX IMA,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,1385,1385,,
PIX Unicamp,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,677,677,,
Ascenty HTL04 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,1110,1110,,
Ascenty HTL05 - Hortolândia,,PIRACICABA/CAPIVARI/JUNDIAI,10.0,1110,1110,,
PIX USP,,ALTO TIETÊ,10.0,6121,6121,,
PIX ALGAR-PIAF,,ALTO TIETÊ,10.0,6566,6566,,
PIX ALGAR-CENESP,,ALTO TIETÊ,10.0,5439,5439,,
PIX Locaweb,,ALTO TIETÊ,10.0,6352,6352,,
PIX Tim,,ALTO TIETÊ,10.0,6099,6099,,
PIX Telefonica-JD,,ALTO TIETÊ,10.0,6504,6504,,
PIX Vero,,ALTO TIETÊ,10.0,6121,6121,,
PIX Embratel SP,,ALTO TIETÊ,10.0,6252,6252,,
PIX Samm Itaim,,ALTO TIETÊ,10.0,6271,6271,,
